"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\include\imagebuilder\shell_parser.h", "C++", 38, 0, 0, 0, 0, 0, 1, 5, 44
"e:\Projects\VScodeProjects\ocibuilder_init\include\init\init.h", "C++", 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\Projects\VScodeProjects\ocibuilder_init\include\init\init_cmd.h", "C++", 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\Projects\VScodeProjects\ocibuilder_init\include\init\init_global.h", "C++", 27, 0, 0, 0, 0, 0, 0, 4, 31
"e:\Projects\VScodeProjects\ocibuilder_init\include\internal\types.h", "C++", 21, 0, 0, 0, 0, 0, 2, 3, 26
"e:\Projects\VScodeProjects\ocibuilder_init\include\libimage\normalize.h", "C++", 10, 0, 0, 0, 0, 0, 0, 4, 14
"e:\Projects\VScodeProjects\ocibuilder_init\include\lockfile\lastwrite.h", "C++", 26, 0, 0, 0, 0, 0, 1, 1, 28
"e:\Projects\VScodeProjects\ocibuilder_init\include\lockfile\lockfile.h", "C++", 55, 0, 0, 0, 0, 0, 9, 2, 66
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\alt_exit.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 10
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\bufferpool.h", "C++", 39, 0, 0, 0, 0, 0, 5, 8, 52
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\entry.h", "C++", 103, 0, 0, 0, 0, 0, 12, 13, 128
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\exported.h", "C++", 54, 0, 0, 0, 0, 0, 2, 3, 59
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\formatter.h", "C++", 13, 0, 0, 0, 0, 0, 1, 2, 16
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\hooks.h", "C++", 25, 0, 0, 0, 0, 0, 3, 6, 34
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\json_formatter.h", "C++", 7, 0, 0, 0, 0, 0, 0, 4, 11
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\logger.h", "C++", 130, 0, 0, 0, 0, 0, 30, 24, 184
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\logrus.h", "C++", 39, 0, 0, 0, 0, 0, 22, 5, 66
"e:\Projects\VScodeProjects\ocibuilder_init\include\logrus\text_formatter.h", "C++", 34, 0, 0, 0, 0, 0, 2, 2, 38
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\build.h", "C++", 27, 0, 0, 0, 0, 0, 15, 2, 44
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\config.h", "C++", 23, 0, 0, 0, 0, 0, 15, 1, 39
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\images.h", "C++", 15, 0, 0, 0, 0, 0, 16, 1, 32
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\info.h", "C++", 11, 0, 0, 0, 0, 0, 10, 1, 22
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\inspect.h", "C++", 11, 0, 0, 0, 0, 0, 10, 1, 22
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\login.h", "C++", 17, 0, 0, 0, 0, 0, 15, 1, 33
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\logout.h", "C++", 15, 0, 0, 0, 0, 0, 16, 3, 34
"e:\Projects\VScodeProjects\ocibuilder_init\include\main\pull.h", "C++", 15, 0, 0, 0, 0, 0, 15, 1, 31
